	BDB	BRN	CBI	CLH	KJI	MBO	NWH	PLB	SGB	SYH	TKT
BDB	0										
BRN	0.02701	0									
CBI	0.45695	0.49708	0								
CLH	0.02056	0.0239	0.47788	0							
KJI	0.04948	0.06513	0.31946	0.05331	0						
MBO	0.00542	0.02349	0.44063	0.01861	0.04428	0					
NWH	0.49301	0.52621	0.01779	0.50571	0.34537	0.47236	0				
PLB	0.18843	0.22116	0.15599	0.20258	0.06898	0.16818	0.17338	0			
SGB	0.03706	0.02584	0.52571	0.03407	0.10152	0.03679	0.55874	0.25448	0		
SYH	0.03698	0.05375	0.54431	0.04516	0.12683	0.0378	0.5817	0.28375	0.02091	0	
TKT	0.46077	0.49525	0.01913	0.47345	0.31245	0.43984	0.00777	0.1472	0.52718	0.55057	0
