Locus,Het,FST
1,0.16782187,0.21615389
2,0.11319452,0.08442612
3,0.15938513,0.13973755
4,0.33092374,0.01712032
5,0.13648543,0.00874048
6,0.11151521,0.05071485
7,0.5278706,0.18221286
8,0.14487214,0.11959893
9,0.49277356,0.03637358
10,0.48176684,0.08664213
11,0.27285622,0.36387694
12,0.35053345,0.03594746
13,0.44104817,0.04513953
14,0.18972901,0.07998288
15,0.34577629,0.07052722
16,0.53502755,0.23410676
17,0.47934539,0.03140297
18,0.20263203,0.09159548
19,0.23837057,0.12922248
20,0.09746481,0.02941464
21,0.2528691,0.09281274
22,0.16768012,0.01954444
23,0.16417851,0.05287893
24,0.4949581,0.02758585
25,0.28856411,0.26659421
26,0.28669445,0.03000456
27,0.47407849,0.15006024
28,0.51310842,0.10713545
29,0.19362677,0.20462397
30,0.23207284,0.08064399
31,0.10271419,0.06701978
32,0.12051046,0.05239639
33,0.485152,0.17462145
34,0.11948291,0.03320845
35,0.29723648,0.23172055
36,0.17798515,0.05840694
37,0.31961142,0.14417145
38,0.31961142,0.14417145
39,0.295599,0.10876204
40,0.38081111,0.09673
41,0.15246138,0.01123937
42,0.15246138,0.01123937
43,0.32530937,0.13015098
44,0.17274168,0.08217184
45,0.16034432,0.03595574
46,0.10079585,0.04771449
47,0.11773592,0.16236194
48,0.12713568,0.03461431
49,0.36853968,0.00140979
50,0.10794411,0.16942982
51,0.29742198,0.26357288
52,0.14457951,0.04246775
53,0.31543376,0.01515112
54,0.13362314,0.14503417
55,0.23837195,0.01468577
56,0.24535283,0.00478909
57,0.37357925,0.03281306
58,0.44765914,0.03494371
59,0.26519604,0.00237203
60,0.35390216,0.09463184
61,0.47929473,0.00472303
62,0.50092907,0.03391455
63,0.37413789,0.15288615
64,0.1335998,0.0437649
65,0.22566811,0.08356687
66,0.41832206,0.00651255
67,0.25733593,0.02193811
68,0.26011444,0.01791746
69,0.49616928,0.01540689
70,0.19950651,0.11825276
71,0.16134998,0.03799676
72,0.4974109,0.07050408
73,0.4974109,0.07050408
74,0.12417876,0.02940487
75,0.46337585,0.26309114
76,0.15994628,0.12784911
77,0.11100713,0.04636995
78,0.10788771,0.04565157
79,0.23113382,0.07759122
80,0.10788771,0.04565157
81,0.17316121,0.009606
82,0.13558297,0.13959961
83,0.28868832,0.23687473
84,0.12888369,0.03233193
85,0.46604694,0.12100889
86,0.09971429,0.04153961
87,0.26330869,0.00656602
88,0.12925492,0.15062361
89,0.51373087,0.0662824
90,0.51373087,0.0662824
91,0.2215717,0.0531314
92,0.19431753,0.06852984
93,0.16391728,0.12041099
94,0.18633261,0.03778057
95,0.24995401,0.03473918
96,0.25106868,0.07062939
97,0.21101043,0.05304492
98,0.29269843,0.10551928
99,0.12395678,0.02067946
100,0.48590754,0.02807921
101,0.37645787,0.00701643
102,0.37645787,0.00701643
103,0.49362671,0.03760111
104,0.18506328,0.05483639
105,0.40952583,0.14514825
106,0.3555755,0.34453719
107,0.48798519,0.02419549
108,0.35548363,0.03024573
109,0.12057857,0.05734304
110,0.18382345,0.06984913
111,0.20636815,0.00020165
112,0.3543045,0.32230383
113,0.47943979,0.03900159
114,0.25942433,0.1338642
115,0.11910692,0.05477828
116,0.23092129,0.10681935
117,0.12488966,0.05077495
118,0.41797274,0.21627075
119,0.09898996,0.04760318
120,0.18146941,0.11516074
121,0.58220335,0.4425774
122,0.58097404,0.43950298
123,0.22611744,0.19359325
124,0.22611744,0.19359325
125,0.11176621,0.01359795
126,0.52982283,0.13146061
127,0.3190736,0.07266038
128,0.11246513,0.05393954
129,0.10286323,0.09284642
130,0.21663762,0.1043681
131,0.28873808,0.00869715
132,0.4534293,0.07455527
133,0.13071028,0.27168797
134,0.1712524,0.02577155
135,0.11962083,0.05963334
136,0.49251295,0.04717748
137,0.09853013,0.00580983
138,0.09853013,0.00580983
139,0.16946877,0.03596233
140,0.16946877,0.03596233
141,0.16946877,0.03596233
142,0.12893436,0.01987995
143,0.24240193,0.00697586
144,0.24240193,0.00697586
145,0.38247143,0.18492045
146,0.32782838,0.03273394
147,0.11394774,0.14536549
148,0.11394774,0.14536549
149,0.22329049,0.14875126
150,0.44295491,0.08426778
151,0.22830511,0.00756636
152,0.48415234,0.03178811
153,0.22548145,0.00737377
154,0.22548145,0.00737377
155,0.17581774,0.0691372
156,0.12210102,0.05319427
157,0.19514656,0.00087475
158,0.17356617,0.0712998
159,0.51705597,0.19400227
160,0.12121268,0.0118472
161,0.34655838,0.39458741
162,0.31092565,0.13637986
163,0.11791126,0.002286
164,0.22366575,0.01676045
165,0.35852373,0.00756556
166,0.35852373,0.00756556
167,0.18131523,0.02464017
168,0.28744973,0.11960729
169,0.1331712,0.05550544
170,0.13629127,0.04951462
171,0.16439856,0.03443533
172,0.16439856,0.03443533
173,0.16339711,0.14870232
174,0.40124119,0.17924367
175,0.40124119,0.17924367
176,0.40124119,0.17924367
177,0.40124119,0.17924367
178,0.19735319,0.06118792
179,0.14520761,0.07728859
180,0.4993472,0.04320689
181,0.13351375,0.16160922
182,0.17894842,0.15043844
183,0.23669243,0.26271163
184,0.10203319,0.0595802
185,0.16238677,0.10057723
186,0.4835042,0.02730196
187,0.41959682,0.06071479
188,0.29536818,0.15249951
189,0.33383004,0.0221899
190,0.33383004,0.0221899
191,0.30065197,0.23368898
192,0.18948542,0.11719759
193,0.23486806,0.00391264
194,0.26603182,0.00371927
195,0.12502774,0.01901578
196,0.12502774,0.01901578
197,0.12502774,0.01901578
198,0.26190301,0.0317415
199,0.14472293,0.06660497
200,0.49952013,0.00540176
201,0.44105491,0.0691353
202,0.25553229,0.0683728
203,0.10542582,0.08478074
204,0.30833108,0.08244503
205,0.12209439,0.02715776
206,0.25120291,0.12866681
207,0.10444724,0.07426805
208,0.3396433,0.01820169
209,0.13260145,0.0454518
210,0.13493587,0.04622126
211,0.36158921,0.05547702
212,0.49832773,0.01056429
213,0.16660621,0.06457564
214,0.21263178,0.07150066
215,0.40070173,0.20595052
216,0.31707381,0.05165608
217,0.31707381,0.05165608
218,0.40362956,0.01068931
219,0.20990721,0.06379931
220,0.26749745,0.09652991
221,0.35673757,0.0219944
222,0.29693537,0.27369235
223,0.19493785,0.04848064
224,0.25817388,0.01269729
225,0.1729096,0.04361656
226,0.32290423,0.11843243
227,0.28755572,0.03685118
228,0.19451255,0.04905195
229,0.50639945,0.0342579
230,0.23207315,0.19696951
231,0.17053701,0.16487109
232,0.17053701,0.16487109
233,0.28151655,0.18449636
234,0.17983076,0.11170481
235,0.18067199,0.06284217
236,0.4367789,0.15123607
237,0.11900758,0.02631661
238,0.13131531,0.04577048
239,0.18290403,0.21020746
240,0.13869169,0.018968
241,0.1216371,0.03816714
242,0.50220416,0.0132552
243,0.48884366,0.0022642
244,0.10175842,0.06783914
245,0.4986161,0.03421777
246,0.4665092,0.1900731
247,0.17708409,0.04888383
248,0.42488102,0.24390042
249,0.20881731,0.0090402
250,0.54685283,0.17927467
251,0.20329474,0.01171646
252,0.20329474,0.01171646
253,0.20329474,0.01171646
254,0.20329474,0.01171646
255,0.12322314,0.05478739
256,0.13131231,0.00645906
257,0.16417387,0.08247022
258,0.50068212,0.0177422
259,0.49991414,0.02529631
260,0.49991414,0.02529631
261,0.10224264,0.00770793
262,0.10224264,0.00770793
263,0.26050391,0.00986999
264,0.1617398,0.1154061
265,0.46017246,0.06493192
266,0.24893004,0.00362931
267,0.44525799,0.15735886
268,0.15227185,0.17052719
269,0.18877894,0.05739961
270,0.26194909,0.0027963
271,0.15352602,0.17849902
272,0.23111402,0.04803044
273,0.50851802,0.04107487
274,0.22246249,0.04075332
275,0.30061233,0.05420289
276,0.31389177,0.33934319
277,0.19212325,0.05070327
278,0.46045307,0.01491363
279,0.14760274,0.04295532
280,0.19996678,0.06724717
281,0.16313065,0.09098699
282,0.20715203,0.12104805
283,0.44058834,0.01640889
284,0.4629042,0.02421876
285,0.4629042,0.02421876
286,0.42652442,0.03311879
287,0.49038691,0.022926
288,0.38707022,0.02645157
289,0.2336625,0.07723897
290,0.27050671,0.29189611
291,0.10256992,0.0149659
292,0.14355418,0.07121605
293,0.14355418,0.07121605
294,0.10577987,0.06639516
295,0.35360328,0.00019382
296,0.46351035,0.00943088
297,0.58715491,0.31869063
298,0.40974761,0.09723119
299,0.17707733,0.04625651
300,0.1428275,0.10925236
301,0.33397912,0.08525634
302,0.1543701,0.13234232
303,0.12154803,0.05160099
304,0.13587124,0.03705363
305,0.41119073,0.02268329
306,0.18853304,0.18419051
307,0.25120737,0.11074982
308,0.1113275,0.07625948
309,0.30698579,0.00894898
310,0.1295318,0.071857
311,0.15711151,0.01667332
312,0.26562682,0.01189363
313,0.43432823,0.03941084
314,0.47792219,0.35961612
315,0.10003848,0.01392977
316,0.13619012,0.02694652
317,0.42800161,0.03788258
318,0.42800161,0.03788258
319,0.15126696,0.01845888
320,0.23448342,0.06621698
321,0.25781454,0.09536168
322,0.2372562,0.02280503
323,0.1624944,0.04076306
324,0.14584087,0.07223064
325,0.57693049,0.34774633
326,0.57693049,0.34774633
327,0.14584087,0.07223064
328,0.12380598,0.03751317
329,0.12380598,0.03751317
330,0.09978041,0.12777454
331,0.21308335,0.07344802
332,0.21308335,0.07344802
333,0.13333191,0.14550476
334,0.2963412,0.00414324
335,0.10874479,0.05672286
336,0.42879917,0.00875191
337,0.42879917,0.00875191
338,0.11826305,0.01643771
339,0.40011295,0.03338325
340,0.10813334,0.06753909
341,0.15771334,0.03151429
342,0.20674273,0.10310994
343,0.17090736,0.06064301
344,0.1303725,0.09107743
345,0.16572792,0.04251902
346,0.30239624,0.05585191
347,0.17758482,0.08750864
348,0.25586486,0.08382311
349,0.21491273,0.0130785
350,0.27312181,0.02859941
351,0.18224523,0.04768633
352,0.11302829,0.07224402
353,0.47678815,0.07938219
354,0.39919402,0.0145554
355,0.1239057,0.04760959
356,0.1239057,0.04760959
357,0.42935373,0.05442576
358,0.21615966,0.03332404
359,0.16847638,0.09075671
360,0.16847638,0.09075671
361,0.1327056,0.07731492
362,0.21836754,0.02574725
363,0.16193829,0.03591065
364,0.19144214,0.04228534
365,0.35329268,0.03266241
366,0.14147268,0.05265033
367,0.11893413,0.16836669
368,0.10870574,0.01325828
